"Population by Educational Attainment","Number"
"Beginners",""
"Female","366"
"Male","402"
"","768"
"Graduate and Equivalent",""
"Female","231"
"Male","428"
"","659"
"Intermediate and Equivalent",""
"Female","538"
"Male","746"
"","1284"
"Level not Stated",""
"Female","12"
"Male","16"
"","28"
"Lower Secondary (Class 6-8)",""
"Female","2119"
"Male","2224"
"","4343"
"Non Formal Education",""
"Female","356"
"Male","214"
"","570"
"Others",""
"Female","1"
"Male","1"
"","2"
"Post Graduate Equivalent and Above",""
"Female","29"
"Male","122"
"","151"
"Primary Education (1-5 Class)",""
"Female","4395"
"Male","4597"
"","8992"
"Secondary Level (Class 9-10)",""
"Female","1147"
"Male","1252"
"","2399"
"SLC and Equivalent",""
"Female","1112"
"Male","1227"
"","2339"
