"Population by Caste Ethinicity","Number"
"Badi",""
"Female","44"
"Male","39"
"","83"
"Brahman - Hill",""
"Female","461"
"Male","484"
"","945"
"Chhetri",""
"Female","10136"
"Male","8902"
"","19038"
"Dalit Others",""
"Female","17"
"Male","13"
"","30"
"Damai/Dholi",""
"Female","689"
"Male","581"
"","1270"
"Gaine",""
"Female","10"
"Male","5"
"","15"
"Kami",""
"Female","1912"
"Male","1680"
"","3592"
"Kumal",""
"Female","18"
"Male","13"
"","31"
"Magar",""
"Female","3243"
"Male","2817"
"","6060"
"Musalman",""
"Female","12"
"Male","6"
"","18"
"Newar",""
"Female","33"
"Male","39"
"","72"
"Others",""
"Female","15"
"Male","23"
"","38"
"Sanyasi/Dasnami",""
"Female","67"
"Male","43"
"","110"
"Sarki",""
"Female","284"
"Male","269"
"","553"
"Tamang",""
"Female","5"
"Male","8"
"","13"
"Terai Others",""
"Female","16"
"Male","24"
"","40"
"Thakali",""
"Female","23"
"Male","11"
"","34"
"Thakuri",""
"Female","533"
"Male","440"
"","973"
"Tharu",""
"Female","5"
"Male","19"
"","24"
