"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","9"
"Male","8"
"Bote",""
"Female","10"
"Male","13"
"Brahman - Hill",""
"Female","2436"
"Male","1984"
"Chamar/ Harijan/ Ram",""
"Female","7"
"Male","4"
"Chhetri",""
"Female","2827"
"Male","2399"
"Dalit Others",""
"Female","76"
"Male","76"
"Damai/Dholi",""
"Female","287"
"Male","245"
"Dhobi",""
"Female","5"
"Male","12"
"Gaine",""
"Female","8"
"Male","8"
"Gurung",""
"Female","32"
"Male","34"
"Halwai",""
"Female","20"
"Male","23"
"Kalwar",""
"Female","24"
"Male","29"
"Kami",""
"Female","565"
"Male","454"
"Kathabaniyan",""
"Female","85"
"Male","99"
"Kayastha",""
"Female","6"
"Male","9"
"Kumal",""
"Female","835"
"Male","875"
"Kurmi",""
"Female","4"
"Male","7"
"Kusunda",""
"Female","47"
"Male","45"
"Magar",""
"Female","1628"
"Male","1365"
"Majhi",""
"Female","32"
"Male","37"
"Mallaha",""
"Female","7"
"Male","4"
"Marwadi",""
"Female","6"
"Male","10"
"Musalman",""
"Female","257"
"Male","271"
"Newar",""
"Female","173"
"Male","144"
"Others",""
"Female","38"
"Male","36"
"Rai",""
"Female","35"
"Male","27"
"Sanyasi/Dasnami",""
"Female","266"
"Male","253"
"Sarki",""
"Female","131"
"Male","128"
"Tamang",""
"Female","19"
"Male","25"
"Terai Others",""
"Female","15"
"Male","12"
"Thakuri",""
"Female","221"
"Male","193"
"Tharu",""
"Female","14568"
"Male","13970"
"Yadav",""
"Female","78"
"Male","99"
