"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","8"
"Male","14"
"Bhote",""
"Female","17"
"Male","8"
"Brahman - Hill",""
"Female","5938"
"Male","9945"
"Brahman - Tarai",""
"Female","23"
"Male","51"
"Chamar/ Harijan/ Ram",""
"Female","3"
"Male","14"
"Chamling",""
"Female","8"
"Male","13"
"Chepang /Praja",""
"Female","22"
"Male","27"
"Chhetri",""
"Female","5937"
"Male","7433"
"Dalit Others",""
"Female","120"
"Male","143"
"Damai/Dholi",""
"Female","118"
"Male","121"
"Danuwar",""
"Female","11"
"Male","16"
"Dhanuk",""
"Female","8"
"Male","65"
"Foreigner",""
"Female","8"
"Male","9"
"Gaine",""
"Female","15"
"Male","21"
"Ghale",""
"Female","7"
"Male","6"
"Gharti/Bhujel",""
"Female","54"
"Male","59"
"Gurung",""
"Female","231"
"Male","265"
"Hajam/Thakur",""
"Female","22"
"Male","62"
"Halwai",""
"Female","17"
"Male","31"
"Kalwar",""
"Female","12"
"Male","29"
"Kami",""
"Female","166"
"Male","201"
"Kanu",""
"Female","7"
"Male","10"
"Kathabaniyan",""
"Female","14"
"Male","20"
"Kayastha",""
"Female","13"
"Male","34"
"Koiri/Kushwaha",""
"Female","27"
"Male","85"
"Kumal",""
"Female","15"
"Male","22"
"Kumhar",""
"Female","3"
"Male","14"
"Kurmi",""
"Female","6"
"Male","40"
"Limbu",""
"Female","124"
"Male","196"
"Lohar",""
"Female","1"
"Male","13"
"Magar",""
"Female","906"
"Male","1030"
"Majhi",""
"Female","41"
"Male","58"
"Mali",""
"Female","6"
"Male","9"
"Marwadi",""
"Female","13"
"Male","10"
"Musalman",""
"Female","40"
"Male","152"
"Newar",""
"Female","12354"
"Male","12087"
"Others",""
"Female","60"
"Male","131"
"Rai",""
"Female","381"
"Male","447"
"Rajbansi",""
"Female","11"
"Male","17"
"Rajput",""
"Female","5"
"Male","17"
"Sanyasi/Dasnami",""
"Female","51"
"Male","72"
"Sarki",""
"Female","112"
"Male","119"
"Sherpa",""
"Female","30"
"Male","33"
"Sonar",""
"Female","2"
"Male","9"
"Sudhi",""
"Female","5"
"Male","30"
"Sunuwar",""
"Female","10"
"Male","16"
"Tamang",""
"Female","1608"
"Male","1811"
"Teli",""
"Female","26"
"Male","98"
"Terai Others",""
"Female","46"
"Male","121"
"Thakali",""
"Female","19"
"Male","21"
"Thakuri",""
"Female","186"
"Male","375"
"Thami",""
"Female","7"
"Male","7"
"Tharu",""
"Female","186"
"Male","458"
"Yadav",""
"Female","66"
"Male","381"
