"Population by Single Year of Age","Number"
"0",""
"Female","447"
"Male","454"
"1",""
"Female","370"
"Male","360"
"10",""
"Female","695"
"Male","753"
"11",""
"Female","367"
"Male","373"
"12",""
"Female","663"
"Male","645"
"13",""
"Female","440"
"Male","475"
"14",""
"Female","571"
"Male","499"
"15",""
"Female","466"
"Male","540"
"16",""
"Female","477"
"Male","531"
"17",""
"Female","329"
"Male","390"
"18",""
"Female","510"
"Male","586"
"19",""
"Female","217"
"Male","296"
"2",""
"Female","477"
"Male","522"
"20",""
"Female","489"
"Male","455"
"21",""
"Female","204"
"Male","239"
"22",""
"Female","425"
"Male","351"
"23",""
"Female","252"
"Male","213"
"24",""
"Female","296"
"Male","252"
"25",""
"Female","690"
"Male","628"
"26",""
"Female","289"
"Male","282"
"27",""
"Female","197"
"Male","244"
"28",""
"Female","516"
"Male","430"
"29",""
"Female","91"
"Male","127"
"3",""
"Female","584"
"Male","545"
"30",""
"Female","718"
"Male","672"
"31",""
"Female","101"
"Male","106"
"32",""
"Female","338"
"Male","368"
"33",""
"Female","157"
"Male","102"
"34",""
"Female","119"
"Male","115"
"35",""
"Female","660"
"Male","793"
"36",""
"Female","195"
"Male","183"
"37",""
"Female","113"
"Male","123"
"38",""
"Female","293"
"Male","227"
"39",""
"Female","81"
"Male","80"
"4",""
"Female","535"
"Male","561"
"40",""
"Female","634"
"Male","648"
"41",""
"Female","65"
"Male","90"
"42",""
"Female","172"
"Male","182"
"43",""
"Female","115"
"Male","90"
"44",""
"Female","73"
"Male","70"
"45",""
"Female","524"
"Male","603"
"46",""
"Female","105"
"Male","104"
"47",""
"Female","67"
"Male","74"
"48",""
"Female","172"
"Male","170"
"49",""
"Female","49"
"Male","58"
"5",""
"Female","603"
"Male","635"
"50",""
"Female","415"
"Male","481"
"51",""
"Female","60"
"Male","64"
"52",""
"Female","106"
"Male","112"
"53",""
"Female","58"
"Male","57"
"54",""
"Female","41"
"Male","38"
"55",""
"Female","388"
"Male","392"
"56",""
"Female","69"
"Male","76"
"57",""
"Female","50"
"Male","43"
"58",""
"Female","102"
"Male","101"
"59",""
"Female","37"
"Male","35"
"6",""
"Female","536"
"Male","569"
"60",""
"Female","374"
"Male","350"
"61",""
"Female","39"
"Male","43"
"62",""
"Female","80"
"Male","63"
"63",""
"Female","39"
"Male","27"
"64",""
"Female","33"
"Male","19"
"65",""
"Female","270"
"Male","291"
"66",""
"Female","25"
"Male","26"
"67",""
"Female","27"
"Male","31"
"68",""
"Female","51"
"Male","75"
"69",""
"Female","10"
"Male","25"
"7",""
"Female","533"
"Male","528"
"70",""
"Female","165"
"Male","198"
"71",""
"Female","13"
"Male","6"
"72",""
"Female","20"
"Male","21"
"73",""
"Female","3"
"Male","4"
"74",""
"Female","2"
"Male","7"
"75",""
"Female","64"
"Male","64"
"76",""
"Female","3"
"Male","1"
"77",""
"Female","1"
"Male","3"
"78",""
"Female","4"
"Male","11"
"79",""
"Female","1"
"Male","2"
"8",""
"Female","665"
"Male","675"
"80",""
"Female","39"
"Male","33"
"81",""
"Female","2"
"Male","5"
"82",""
"Female","2"
"Male","0"
"83",""
"Female","0"
"Male","1"
"84",""
"Female","1"
"Male","2"
"85",""
"Female","52"
"Male","31"
"9",""
"Female","370"
"Male","364"
