"Population by disability type","Number"
"Blind/low vision",""
"Female","21"
"Male","27"
"","48"
"Deaf/hard of hearing",""
"Female","8"
"Male","13"
"","21"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","3"
"Male","1"
"","4"
"Mental disable",""
"Female","4"
"Male","12"
"","16"
"Multiple disable",""
"Female","1"
"Male","16"
"","17"
"No disability",""
"Female","15458"
"Male","16012"
"","31470"
"Physical",""
"Female","39"
"Male","81"
"","120"
"Speech problem",""
"Female","13"
"Male","19"
"","32"
