"Population by Educational Attainment","Number"
"Beginners",""
"Female","156"
"Male","234"
"","390"
"Graduate and Equivalent",""
"Female","164"
"Male","530"
"","694"
"Intermediate and Equivalent",""
"Female","276"
"Male","843"
"","1119"
"Level not Stated",""
"Female","20"
"Male","13"
"","33"
"Lower Secondary (Class 6-8)",""
"Female","1183"
"Male","1760"
"","2943"
"Non Formal Education",""
"Female","71"
"Male","74"
"","145"
"Others",""
"Female","6"
"Male","11"
"","17"
"Post Graduate Equivalent and Above",""
"Female","26"
"Male","84"
"","110"
"Primary Education (1-5 Class)",""
"Female","2592"
"Male","3283"
"","5875"
"Secondary Level (Class 9-10)",""
"Female","591"
"Male","1434"
"","2025"
"SLC and Equivalent",""
"Female","473"
"Male","1177"
"","1650"
