"Population by Educational Attainment","Number"
"Beginners",""
"Female","232"
"Male","377"
"","609"
"Graduate and Equivalent",""
"Female","154"
"Male","350"
"","504"
"Intermediate and Equivalent",""
"Female","532"
"Male","803"
"","1335"
"Level not Stated",""
"Female","123"
"Male","105"
"","228"
"Lower Secondary (Class 6-8)",""
"Female","2146"
"Male","2695"
"","4841"
"Non Formal Education",""
"Female","326"
"Male","328"
"","654"
"Others",""
"Female","17"
"Male","27"
"","44"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","42"
"","45"
"Primary Education (1-5 Class)",""
"Female","4160"
"Male","4842"
"","9002"
"Secondary Level (Class 9-10)",""
"Female","1182"
"Male","1774"
"","2956"
"SLC and Equivalent",""
"Female","900"
"Male","1434"
"","2334"
