"Population by Educational Attainment","Number"
"Beginners",""
"Female","547"
"Male","642"
"","1189"
"Graduate and Equivalent",""
"Female","5"
"Male","62"
"","67"
"Intermediate and Equivalent",""
"Female","128"
"Male","278"
"","406"
"Level not Stated",""
"Female","26"
"Male","25"
"","51"
"Lower Secondary (Class 6-8)",""
"Female","910"
"Male","1418"
"","2328"
"Non Formal Education",""
"Female","247"
"Male","214"
"","461"
"Others",""
"Female","5"
"Male","10"
"","15"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","18"
"","18"
"Primary Education (1-5 Class)",""
"Female","3253"
"Male","4102"
"","7355"
"Secondary Level (Class 9-10)",""
"Female","336"
"Male","690"
"","1026"
"SLC and Equivalent",""
"Female","174"
"Male","333"
"","507"
