"Population by disability type","Number"
"Blind/low vision",""
"Female","104"
"Male","108"
"","212"
"Deaf/hard of hearing",""
"Female","82"
"Male","98"
"","180"
"Deaf-Blind",""
"Female","6"
"Male","1"
"","7"
"Intellectual disable",""
"Female","6"
"Male","4"
"","10"
"Mental disable",""
"Female","10"
"Male","15"
"","25"
"Multiple disable",""
"Female","30"
"Male","32"
"","62"
"No disability",""
"Female","12367"
"Male","12137"
"","24504"
"Physical",""
"Female","204"
"Male","298"
"","502"
"Speech problem",""
"Female","40"
"Male","48"
"","88"
