"Employed Population by Occupation","Number"
"Clerical support workers",""
"Female","9000"
"Male","13000"
"Craft and Related Trade Workers",""
"Female","42000"
"Male","115000"
"Elementary Occupation",""
"Female","63000"
"Male","47000"
"Managers",""
"Female","2000"
"Male","7000"
"Not elsewhere classified",""
"Female","1000"
"Male","0"
"Plant and Machines Operaters and Assemblers",""
"Female","0"
"Male","25000"
"Professionals",""
"Female","30000"
"Male","37000"
"Service and Sales Workers",""
"Female","75000"
"Male","65000"
"Skilled agricultural, forestry and fishery workers",""
"Female","40000"
"Male","20000"
"Technician and Associate Professional",""
"Female","5000"
"Male","9000"
