"Population by disability type","Number"
"Blind/low vision",""
"Female","68"
"Male","71"
"","139"
"Deaf/hard of hearing",""
"Female","37"
"Male","52"
"","89"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","12"
"Male","19"
"","31"
"Mental disable",""
"Female","13"
"Male","24"
"","37"
"Multiple disable",""
"Female","19"
"Male","19"
"","38"
"No disability",""
"Female","17951"
"Male","18979"
"","36930"
"Physical",""
"Female","53"
"Male","85"
"","138"
"Speech problem",""
"Female","28"
"Male","24"
"","52"
