"Population by Educational Attainment","Number"
"Beginners",""
"Female","78"
"Male","82"
"","160"
"Graduate and Equivalent",""
"Female","44"
"Male","73"
"","117"
"Intermediate and Equivalent",""
"Female","243"
"Male","234"
"","477"
"Level not Stated",""
"Female","36"
"Male","46"
"","82"
"Lower Secondary (Class 6-8)",""
"Female","1382"
"Male","1329"
"","2711"
"Non Formal Education",""
"Female","459"
"Male","578"
"","1037"
"Others",""
"Female","1"
"Male","0"
"","1"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","22"
"","27"
"Primary Education (1-5 Class)",""
"Female","1942"
"Male","2459"
"","4401"
"Secondary Level (Class 9-10)",""
"Female","744"
"Male","737"
"","1481"
"SLC and Equivalent",""
"Female","407"
"Male","395"
"","802"
