"Population by disability type","Number"
"Blind/low vision",""
"Female","97"
"Male","81"
"","178"
"Deaf/hard of hearing",""
"Female","86"
"Male","79"
"","165"
"Deaf-Blind",""
"Female","7"
"Male","12"
"","19"
"Intellectual disable",""
"Female","5"
"Male","18"
"","23"
"Mental disable",""
"Female","26"
"Male","33"
"","59"
"Multiple disable",""
"Female","37"
"Male","49"
"","86"
"No disability",""
"Female","25642"
"Male","19095"
"","44737"
"Physical",""
"Female","167"
"Male","218"
"","385"
"Speech problem",""
"Female","64"
"Male","76"
"","140"
