"Population by disability type","Number"
"Blind/low vision",""
"Female","75"
"Male","84"
"","159"
"Deaf/hard of hearing",""
"Female","83"
"Male","72"
"","155"
"Deaf-Blind",""
"Female","8"
"Male","7"
"","15"
"Intellectual disable",""
"Female","9"
"Male","8"
"","17"
"Mental disable",""
"Female","11"
"Male","5"
"","16"
"Multiple disable",""
"Female","18"
"Male","14"
"","32"
"No disability",""
"Female","8619"
"Male","8661"
"","17280"
"Physical",""
"Female","116"
"Male","212"
"","328"
"Speech problem",""
"Female","23"
"Male","58"
"","81"
