"Population by disability type","Number"
"Blind/low vision",""
"Female","0"
"Male","1"
"","1"
"Deaf/hard of hearing",""
"Female","9"
"Male","11"
"","20"
"Deaf-Blind",""
"Female","0"
"Male","0"
"","0"
"Intellectual disable",""
"Female","0"
"Male","0"
"","0"
"Mental disable",""
"Female","1"
"Male","0"
"","1"
"Multiple disable",""
"Female","20"
"Male","18"
"","38"
"No disability",""
"Female","943"
"Male","910"
"","1853"
"Physical",""
"Female","3"
"Male","5"
"","8"
"Speech problem",""
"Female","7"
"Male","10"
"","17"
