"Industries Employment","Number"
"Accommodation,  food",""
"Female","465"
"Male","511"
"Administrative, support service",""
"Female","1"
"Male","65"
"Agriculture, forestry and  fishing",""
"Female","78"
"Male","148"
"Arts, entertainment, recreation",""
"Female","7"
"Male","28"
"Construction",""
"Female","1"
"Male","6"
"Education",""
"Female","571"
"Male","1488"
"Electricity, gas and water",""
"Female","5"
"Male","46"
"Financial intermediation and insurance",""
"Female","60"
"Male","160"
"Health, social work",""
"Female","275"
"Male","262"
"Information and communication",""
"Female","17"
"Male","47"
"Manufacturing",""
"Female","57"
"Male","249"
"Other service activities",""
"Female","176"
"Male","242"
"Professional, scientific, techniqual activity",""
"Female","0"
"Male","9"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","7"
"Male","33"
"Water supply, wet management",""
"Female","2"
"Male","14"
"Wholesale, retail trade",""
"Female","1506"
"Male","1926"
