"Population by disability type","Number"
"Blind/low vision",""
"Female","26"
"Male","28"
"","54"
"Deaf/hard of hearing",""
"Female","13"
"Male","15"
"","28"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","1"
"Male","3"
"","4"
"Mental disable",""
"Female","4"
"Male","10"
"","14"
"Multiple disable",""
"Female","8"
"Male","12"
"","20"
"No disability",""
"Female","13694"
"Male","14742"
"","28436"
"Physical",""
"Female","37"
"Male","89"
"","126"
"Speech problem",""
"Female","20"
"Male","21"
"","41"
