"Population by Educational Attainment","Number"
"Beginners",""
"Female","690"
"Male","915"
"Graduate and Equivalent",""
"Female","49"
"Male","155"
"Intermediate and Equivalent",""
"Female","217"
"Male","519"
"Level not Stated",""
"Female","32"
"Male","35"
"Lower Secondary (Class 6-8)",""
"Female","1744"
"Male","3855"
"Non Formal Education",""
"Female","236"
"Male","235"
"Others",""
"Female","3"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","41"
"Primary Education (1-5 Class)",""
"Female","5339"
"Male","7063"
"Secondary Level (Class 9-10)",""
"Female","605"
"Male","1678"
"SLC and Equivalent",""
"Female","340"
"Male","838"
