"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","48"
"","87"
"Deaf/hard of hearing",""
"Female","25"
"Male","28"
"","53"
"Deaf-Blind",""
"Female","6"
"Male","7"
"","13"
"Intellectual disable",""
"Female","8"
"Male","11"
"","19"
"Mental disable",""
"Female","22"
"Male","29"
"","51"
"Multiple disable",""
"Female","14"
"Male","26"
"","40"
"No disability",""
"Female","21442"
"Male","21630"
"","43072"
"Physical",""
"Female","88"
"Male","126"
"","214"
"Speech problem",""
"Female","28"
"Male","49"
"","77"
