"Population by Educational Attainment","Number"
"Beginners",""
"Female","190"
"Male","247"
"Graduate and Equivalent",""
"Female","7"
"Male","31"
"Intermediate and Equivalent",""
"Female","142"
"Male","144"
"Level not Stated",""
"Female","14"
"Male","10"
"Lower Secondary (Class 6-8)",""
"Female","756"
"Male","878"
"Non Formal Education",""
"Female","347"
"Male","349"
"Others",""
"Female","5"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","8"
"Primary Education (1-5 Class)",""
"Female","2157"
"Male","2534"
"Secondary Level (Class 9-10)",""
"Female","317"
"Male","420"
"SLC and Equivalent",""
"Female","183"
"Male","284"
