"Population by Educational Attainment","Number"
"Beginners",""
"Female","375"
"Male","479"
"Graduate and Equivalent",""
"Female","450"
"Male","796"
"Intermediate and Equivalent",""
"Female","1420"
"Male","1437"
"Level not Stated",""
"Female","111"
"Male","127"
"Lower Secondary (Class 6-8)",""
"Female","3754"
"Male","3827"
"Non Formal Education",""
"Female","1070"
"Male","1029"
"Others",""
"Female","0"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","96"
"Male","318"
"Primary Education (1-5 Class)",""
"Female","5445"
"Male","6142"
"Secondary Level (Class 9-10)",""
"Female","2848"
"Male","2738"
"SLC and Equivalent",""
"Female","2108"
"Male","2090"
