"Population by disability type","Number"
"Blind/low vision",""
"Female","45"
"Male","72"
"","117"
"Deaf/hard of hearing",""
"Female","23"
"Male","36"
"","59"
"Deaf-Blind",""
"Female","12"
"Male","7"
"","19"
"Intellectual disable",""
"Female","4"
"Male","8"
"","12"
"Mental disable",""
"Female","28"
"Male","31"
"","59"
"Multiple disable",""
"Female","18"
"Male","20"
"","38"
"No disability",""
"Female","17582"
"Male","17380"
"","34962"
"Physical",""
"Female","76"
"Male","121"
"","197"
"Speech problem",""
"Female","11"
"Male","50"
"","61"
