"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","57"
"","108"
"Deaf/hard of hearing",""
"Female","50"
"Male","76"
"","126"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","0"
"Male","3"
"","3"
"Mental disable",""
"Female","6"
"Male","5"
"","11"
"Multiple disable",""
"Female","11"
"Male","9"
"","20"
"No disability",""
"Female","6427"
"Male","6327"
"","12754"
"Physical",""
"Female","52"
"Male","69"
"","121"
"Speech problem",""
"Female","27"
"Male","40"
"","67"
