"Population by disability type","Number"
"Blind/low vision",""
"Female","712"
"Male","745"
"","1457"
"Deaf/hard of hearing",""
"Female","335"
"Male","367"
"","702"
"Deaf-Blind",""
"Female","75"
"Male","60"
"","135"
"Intellectual disable",""
"Female","110"
"Male","149"
"","259"
"Mental disable",""
"Female","255"
"Male","368"
"","623"
"Multiple disable",""
"Female","256"
"Male","338"
"","594"
"No disability",""
"Female","283040"
"Male","279477"
"","562517"
"Physical",""
"Female","1033"
"Male","1658"
"","2691"
"Speech problem",""
"Female","379"
"Male","477"
"","856"
