"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","43"
"","80"
"Deaf/hard of hearing",""
"Female","11"
"Male","14"
"","25"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","4"
"Male","5"
"","9"
"Mental disable",""
"Female","13"
"Male","14"
"","27"
"Multiple disable",""
"Female","14"
"Male","18"
"","32"
"No disability",""
"Female","15535"
"Male","16224"
"","31759"
"Physical",""
"Female","58"
"Male","98"
"","156"
"Speech problem",""
"Female","16"
"Male","29"
"","45"
