"Population by Educational Attainment","Number"
"Beginners",""
"Female","10380"
"Male","12664"
"","23044"
"Graduate and Equivalent",""
"Female","5912"
"Male","10429"
"","16341"
"Intermediate and Equivalent",""
"Female","17065"
"Male","21651"
"","38716"
"Level not Stated",""
"Female","1370"
"Male","1442"
"","2812"
"Lower Secondary (Class 6-8)",""
"Female","52450"
"Male","68158"
"","120608"
"Non Formal Education",""
"Female","8763"
"Male","6016"
"","14779"
"Others",""
"Female","333"
"Male","239"
"","572"
"Post Graduate Equivalent and Above",""
"Female","1153"
"Male","3610"
"","4763"
"Primary Education (1-5 Class)",""
"Female","101190"
"Male","117718"
"","218908"
"Secondary Level (Class 9-10)",""
"Female","31670"
"Male","40964"
"","72634"
"SLC and Equivalent",""
"Female","22956"
"Male","27440"
"","50396"
