"Population by disability type","Number"
"Blind/low vision",""
"Female","874"
"Male","862"
"","1736"
"Deaf/hard of hearing",""
"Female","482"
"Male","540"
"","1022"
"Deaf-Blind",""
"Female","88"
"Male","93"
"","181"
"Intellectual disable",""
"Female","164"
"Male","186"
"","350"
"Mental disable",""
"Female","380"
"Male","482"
"","862"
"Multiple disable",""
"Female","374"
"Male","430"
"","804"
"No disability",""
"Female","442908"
"Male","421853"
"","864761"
"Physical",""
"Female","1422"
"Male","2251"
"","3673"
"Speech problem",""
"Female","513"
"Male","664"
"","1177"
