"Population by disability type","Number"
"Blind/low vision",""
"Female","17"
"Male","17"
"","34"
"Deaf/hard of hearing",""
"Female","5"
"Male","7"
"","12"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","1"
"Male","4"
"","5"
"Mental disable",""
"Female","2"
"Male","6"
"","8"
"Multiple disable",""
"Female","15"
"Male","22"
"","37"
"No disability",""
"Female","9559"
"Male","8760"
"","18319"
"Physical",""
"Female","53"
"Male","37"
"","90"
"Speech problem",""
"Female","7"
"Male","8"
"","15"
