"Population by disability type","Number"
"Blind/low vision",""
"Female","58"
"Male","42"
"","100"
"Deaf/hard of hearing",""
"Female","42"
"Male","53"
"","95"
"Deaf-Blind",""
"Female","6"
"Male","6"
"","12"
"Intellectual disable",""
"Female","5"
"Male","8"
"","13"
"Mental disable",""
"Female","3"
"Male","8"
"","11"
"Multiple disable",""
"Female","14"
"Male","16"
"","30"
"No disability",""
"Female","10114"
"Male","8611"
"","18725"
"Physical",""
"Female","86"
"Male","149"
"","235"
"Speech problem",""
"Female","16"
"Male","40"
"","56"
