"Population by disability type","Number"
"Blind/low vision",""
"Female","136"
"Male","90"
"","226"
"Deaf/hard of hearing",""
"Female","54"
"Male","59"
"","113"
"Deaf-Blind",""
"Female","11"
"Male","11"
"","22"
"Intellectual disable",""
"Female","11"
"Male","13"
"","24"
"Mental disable",""
"Female","11"
"Male","21"
"","32"
"Multiple disable",""
"Female","23"
"Male","22"
"","45"
"No disability",""
"Female","17485"
"Male","14586"
"","32071"
"Physical",""
"Female","162"
"Male","161"
"","323"
"Speech problem",""
"Female","41"
"Male","44"
"","85"
