"Population by Educational Attainment","Number"
"Beginners",""
"Female","810"
"Male","822"
"","1632"
"Graduate and Equivalent",""
"Female","90"
"Male","358"
"","448"
"Intermediate and Equivalent",""
"Female","359"
"Male","695"
"","1054"
"Level not Stated",""
"Female","47"
"Male","64"
"","111"
"Lower Secondary (Class 6-8)",""
"Female","1384"
"Male","1756"
"","3140"
"Non Formal Education",""
"Female","160"
"Male","150"
"","310"
"Others",""
"Female","7"
"Male","14"
"","21"
"Post Graduate Equivalent and Above",""
"Female","20"
"Male","190"
"","210"
"Primary Education (1-5 Class)",""
"Female","3765"
"Male","4382"
"","8147"
"Secondary Level (Class 9-10)",""
"Female","632"
"Male","897"
"","1529"
"SLC and Equivalent",""
"Female","725"
"Male","1087"
"","1812"
