"Population by Educational Attainment","Number"
"Beginners",""
"Female","87"
"Male","95"
"Graduate and Equivalent",""
"Female","1"
"Male","22"
"Intermediate and Equivalent",""
"Female","18"
"Male","44"
"Level not Stated",""
"Female","5"
"Male","8"
"Lower Secondary (Class 6-8)",""
"Female","159"
"Male","287"
"Non Formal Education",""
"Female","60"
"Male","73"
"Others",""
"Female","1"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","6"
"Primary Education (1-5 Class)",""
"Female","668"
"Male","741"
"Secondary Level (Class 9-10)",""
"Female","57"
"Male","183"
"SLC and Equivalent",""
"Female","65"
"Male","161"
