"Population by disability type","Number"
"Blind/low vision",""
"Female","126"
"Male","117"
"","243"
"Deaf/hard of hearing",""
"Female","82"
"Male","82"
"","164"
"Deaf-Blind",""
"Female","14"
"Male","11"
"","25"
"Intellectual disable",""
"Female","26"
"Male","27"
"","53"
"Mental disable",""
"Female","41"
"Male","62"
"","103"
"Multiple disable",""
"Female","63"
"Male","75"
"","138"
"No disability",""
"Female","39627"
"Male","34105"
"","73732"
"Physical",""
"Female","231"
"Male","340"
"","571"
"Speech problem",""
"Female","99"
"Male","114"
"","213"
