"Population by disability type","Number"
"Blind/low vision",""
"Female","23"
"Male","20"
"","43"
"Deaf/hard of hearing",""
"Female","14"
"Male","22"
"","36"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","0"
"Male","8"
"","8"
"Mental disable",""
"Female","9"
"Male","16"
"","25"
"Multiple disable",""
"Female","5"
"Male","17"
"","22"
"No disability",""
"Female","19588"
"Male","20524"
"","40112"
"Physical",""
"Female","43"
"Male","70"
"","113"
"Speech problem",""
"Female","21"
"Male","25"
"","46"
