"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","31"
"","63"
"Deaf/hard of hearing",""
"Female","10"
"Male","25"
"","35"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","2"
"Male","4"
"","6"
"Mental disable",""
"Female","8"
"Male","18"
"","26"
"Multiple disable",""
"Female","7"
"Male","7"
"","14"
"No disability",""
"Female","16139"
"Male","15834"
"","31973"
"Physical",""
"Female","44"
"Male","76"
"","120"
"Speech problem",""
"Female","8"
"Male","16"
"","24"
