"Population by disability type","Number"
"Blind/low vision",""
"Female","61"
"Male","53"
"","114"
"Deaf/hard of hearing",""
"Female","23"
"Male","21"
"","44"
"Deaf-Blind",""
"Female","6"
"Male","11"
"","17"
"Intellectual disable",""
"Female","10"
"Male","13"
"","23"
"Mental disable",""
"Female","13"
"Male","30"
"","43"
"Multiple disable",""
"Female","14"
"Male","26"
"","40"
"No disability",""
"Female","17888"
"Male","18526"
"","36414"
"Physical",""
"Female","63"
"Male","114"
"","177"
"Speech problem",""
"Female","28"
"Male","37"
"","65"
