"Population by Single Year of Age","Number"
"0",""
"Female","211"
"Male","268"
"1",""
"Female","258"
"Male","239"
"10",""
"Female","296"
"Male","280"
"11",""
"Female","231"
"Male","229"
"12",""
"Female","294"
"Male","313"
"13",""
"Female","222"
"Male","220"
"14",""
"Female","223"
"Male","190"
"15",""
"Female","179"
"Male","184"
"16",""
"Female","179"
"Male","191"
"17",""
"Female","147"
"Male","135"
"18",""
"Female","215"
"Male","189"
"19",""
"Female","96"
"Male","98"
"2",""
"Female","243"
"Male","239"
"20",""
"Female","203"
"Male","183"
"21",""
"Female","119"
"Male","85"
"22",""
"Female","174"
"Male","138"
"23",""
"Female","156"
"Male","92"
"24",""
"Female","155"
"Male","101"
"25",""
"Female","176"
"Male","129"
"26",""
"Female","139"
"Male","110"
"27",""
"Female","120"
"Male","91"
"28",""
"Female","161"
"Male","122"
"29",""
"Female","64"
"Male","55"
"3",""
"Female","294"
"Male","287"
"30",""
"Female","198"
"Male","145"
"31",""
"Female","54"
"Male","41"
"32",""
"Female","122"
"Male","82"
"33",""
"Female","80"
"Male","64"
"34",""
"Female","67"
"Male","63"
"35",""
"Female","161"
"Male","127"
"36",""
"Female","88"
"Male","59"
"37",""
"Female","38"
"Male","47"
"38",""
"Female","100"
"Male","85"
"39",""
"Female","33"
"Male","34"
"4",""
"Female","298"
"Male","335"
"40",""
"Female","176"
"Male","101"
"41",""
"Female","56"
"Male","43"
"42",""
"Female","55"
"Male","57"
"43",""
"Female","43"
"Male","30"
"44",""
"Female","41"
"Male","34"
"45",""
"Female","130"
"Male","113"
"46",""
"Female","46"
"Male","38"
"47",""
"Female","40"
"Male","22"
"48",""
"Female","60"
"Male","57"
"49",""
"Female","33"
"Male","34"
"5",""
"Female","251"
"Male","310"
"50",""
"Female","118"
"Male","85"
"51",""
"Female","30"
"Male","30"
"52",""
"Female","35"
"Male","40"
"53",""
"Female","26"
"Male","30"
"54",""
"Female","36"
"Male","26"
"55",""
"Female","98"
"Male","67"
"56",""
"Female","49"
"Male","43"
"57",""
"Female","30"
"Male","30"
"58",""
"Female","65"
"Male","56"
"59",""
"Female","29"
"Male","26"
"6",""
"Female","285"
"Male","291"
"60",""
"Female","137"
"Male","65"
"61",""
"Female","45"
"Male","34"
"62",""
"Female","61"
"Male","36"
"63",""
"Female","45"
"Male","43"
"64",""
"Female","37"
"Male","21"
"65",""
"Female","77"
"Male","60"
"66",""
"Female","19"
"Male","29"
"67",""
"Female","21"
"Male","16"
"68",""
"Female","49"
"Male","42"
"69",""
"Female","12"
"Male","24"
"7",""
"Female","222"
"Male","217"
"70",""
"Female","60"
"Male","40"
"71",""
"Female","29"
"Male","17"
"72",""
"Female","21"
"Male","21"
"73",""
"Female","16"
"Male","9"
"74",""
"Female","4"
"Male","13"
"75",""
"Female","30"
"Male","28"
"76",""
"Female","13"
"Male","12"
"77",""
"Female","8"
"Male","6"
"78",""
"Female","10"
"Male","10"
"79",""
"Female","2"
"Male","4"
"8",""
"Female","293"
"Male","302"
"80",""
"Female","25"
"Male","8"
"81",""
"Female","4"
"Male","5"
"82",""
"Female","5"
"Male","5"
"83",""
"Female","5"
"Male","4"
"84",""
"Female","3"
"Male","4"
"85",""
"Female","24"
"Male","10"
"9",""
"Female","233"
"Male","229"
