"Population by Educational Attainment","Number"
"Beginners",""
"Female","233"
"Male","257"
"","490"
"Graduate and Equivalent",""
"Female","30"
"Male","64"
"","94"
"Intermediate and Equivalent",""
"Female","198"
"Male","239"
"","437"
"Level not Stated",""
"Female","51"
"Male","35"
"","86"
"Lower Secondary (Class 6-8)",""
"Female","1523"
"Male","1477"
"","3000"
"Non Formal Education",""
"Female","577"
"Male","345"
"","922"
"Others",""
"Female","5"
"Male","8"
"","13"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","21"
"","25"
"Primary Education (1-5 Class)",""
"Female","3229"
"Male","3580"
"","6809"
"Secondary Level (Class 9-10)",""
"Female","701"
"Male","693"
"","1394"
"SLC and Equivalent",""
"Female","458"
"Male","562"
"","1020"
