"Population by disability type","Number"
"Blind/low vision",""
"Female","18"
"Male","25"
"","43"
"Deaf/hard of hearing",""
"Female","33"
"Male","22"
"","55"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","5"
"Male","8"
"","13"
"Mental disable",""
"Female","8"
"Male","13"
"","21"
"Multiple disable",""
"Female","9"
"Male","10"
"","19"
"No disability",""
"Female","8096"
"Male","6755"
"","14851"
"Physical",""
"Female","41"
"Male","93"
"","134"
"Speech problem",""
"Female","15"
"Male","37"
"","52"
