"Population by Educational Attainment","Number"
"Beginners",""
"Female","4707"
"Male","4945"
"Graduate and Equivalent",""
"Female","170"
"Male","1111"
"Intermediate and Equivalent",""
"Female","1533"
"Male","3868"
"Level not Stated",""
"Female","253"
"Male","308"
"Lower Secondary (Class 6-8)",""
"Female","9215"
"Male","13903"
"Non Formal Education",""
"Female","3310"
"Male","3086"
"Others",""
"Female","44"
"Male","62"
"Post Graduate Equivalent and Above",""
"Female","20"
"Male","251"
"Primary Education (1-5 Class)",""
"Female","29840"
"Male","34383"
"Secondary Level (Class 9-10)",""
"Female","3917"
"Male","7517"
"SLC and Equivalent",""
"Female","1989"
"Male","4850"
