"Population by disability type","Number"
"Blind/low vision",""
"Female","109"
"Male","96"
"","205"
"Deaf/hard of hearing",""
"Female","30"
"Male","46"
"","76"
"Deaf-Blind",""
"Female","6"
"Male","9"
"","15"
"Intellectual disable",""
"Female","4"
"Male","8"
"","12"
"Mental disable",""
"Female","8"
"Male","8"
"","16"
"Multiple disable",""
"Female","9"
"Male","20"
"","29"
"No disability",""
"Female","6987"
"Male","5664"
"","12651"
"Physical",""
"Female","82"
"Male","102"
"","184"
"Speech problem",""
"Female","17"
"Male","24"
"","41"
