"Population by disability type","Number"
"Blind/low vision",""
"Female","351"
"Male","372"
"","723"
"Deaf/hard of hearing",""
"Female","424"
"Male","516"
"","940"
"Deaf-Blind",""
"Female","63"
"Male","69"
"","132"
"Intellectual disable",""
"Female","57"
"Male","89"
"","146"
"Mental disable",""
"Female","126"
"Male","137"
"","263"
"Multiple disable",""
"Female","183"
"Male","218"
"","401"
"No disability",""
"Female","106845"
"Male","93054"
"","199899"
"Physical",""
"Female","751"
"Male","1161"
"","1912"
"Speech problem",""
"Female","356"
"Male","453"
"","809"
