"Population by Caste/Ethinicity","Number"
"#VALUE!",""
"Female","6"
"Male","6"
"Amat",""
"Female","22"
"Male","30"
"Badhaee",""
"Female","17"
"Male","17"
"Badi",""
"Female","72"
"Male","67"
"Bangali",""
"Female","7"
"Male","16"
"Bantar/Sardar",""
"Female","194"
"Male","179"
"Baraee",""
"Female","20"
"Male","15"
"Bhote",""
"Female","14"
"Male","12"
"Bin",""
"Female","11"
"Male","18"
"Brahman - Hill",""
"Female","1007"
"Male","840"
"Brahman - Tarai",""
"Female","43"
"Male","51"
"Chamar/ Harijan/ Ram",""
"Female","108"
"Male","131"
"Chamling",""
"Female","9"
"Male","9"
"Chhetri",""
"Female","1574"
"Male","1269"
"Dalit Others",""
"Female","5"
"Male","8"
"Damai/Dholi",""
"Female","118"
"Male","85"
"Danuwar",""
"Female","18"
"Male","14"
"Dhanuk",""
"Female","73"
"Male","76"
"Dom",""
"Female","16"
"Male","17"
"Dusadh/ Pasawan/ Pasi",""
"Female","473"
"Male","478"
"Gangai",""
"Female","2044"
"Male","2166"
"Ghale",""
"Female","33"
"Male","28"
"Gharti/Bhujel",""
"Female","26"
"Male","16"
"Gurung",""
"Female","60"
"Male","48"
"Hajam/Thakur",""
"Female","386"
"Male","393"
"Halwai",""
"Female","115"
"Male","104"
"Kalwar",""
"Female","17"
"Male","19"
"Kamar",""
"Female","67"
"Male","66"
"Kami",""
"Female","108"
"Male","105"
"Kathabaniyan",""
"Female","53"
"Male","44"
"Kayastha",""
"Female","10"
"Male","19"
"Kewat",""
"Female","2505"
"Male","2364"
"Khatwe",""
"Female","358"
"Male","291"
"Koche",""
"Female","6"
"Male","5"
"Koiri/Kushwaha",""
"Female","212"
"Male","210"
"Kumal",""
"Female","132"
"Male","132"
"Kumhar",""
"Female","32"
"Male","45"
"Kurmi",""
"Female","12"
"Male","5"
"Limbu",""
"Female","218"
"Male","158"
"Lohar",""
"Female","5"
"Male","10"
"Magar",""
"Female","68"
"Male","66"
"Majhi",""
"Female","285"
"Male","302"
"Mallaha",""
"Female","592"
"Male","605"
"Marwadi",""
"Female","19"
"Male","22"
"Musahar",""
"Female","2057"
"Male","2162"
"Musalman",""
"Female","4161"
"Male","4286"
"Newar",""
"Female","327"
"Male","280"
"Nuniya",""
"Female","160"
"Male","163"
"Nurang",""
"Female","34"
"Male","30"
"Others",""
"Female","40"
"Male","32"
"Rai",""
"Female","352"
"Male","280"
"Rajbansi",""
"Female","2995"
"Male","2758"
"Rajput",""
"Female","66"
"Male","62"
"Sanyasi/Dasnami",""
"Female","14"
"Male","16"
"Sarki",""
"Female","52"
"Male","50"
"Satar/ Santhal",""
"Female","849"
"Male","825"
"Sonar",""
"Female","72"
"Male","73"
"Sudhi",""
"Female","78"
"Male","84"
"Sunuwar",""
"Female","19"
"Male","19"
"Tajpuriya",""
"Female","284"
"Male","237"
"Tamang",""
"Female","288"
"Male","258"
"Tatma/Tatwa",""
"Female","98"
"Male","90"
"Teli",""
"Female","979"
"Male","1008"
"Terai Others",""
"Female","241"
"Male","247"
"Thakali",""
"Female","55"
"Male","32"
"Thakuri",""
"Female","9"
"Male","4"
"Tharu",""
"Female","65"
"Male","58"
"Undefined Others",""
"Female","99"
"Male","94"
"Yadav",""
"Female","1216"
"Male","1228"
"Yakkha",""
"Female","21"
"Male","20"
