"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","19"
"","41"
"Deaf/hard of hearing",""
"Female","46"
"Male","37"
"","83"
"Deaf-Blind",""
"Female","6"
"Male","2"
"","8"
"Intellectual disable",""
"Female","6"
"Male","1"
"","7"
"Mental disable",""
"Female","12"
"Male","17"
"","29"
"Multiple disable",""
"Female","6"
"Male","2"
"","8"
"No disability",""
"Female","8315"
"Male","6418"
"","14733"
"Physical",""
"Female","48"
"Male","63"
"","111"
"Speech problem",""
"Female","20"
"Male","18"
"","38"
