"Population by Educational Attainment","Number"
"Beginners",""
"Female","2815"
"Male","3230"
"Graduate and Equivalent",""
"Female","1057"
"Male","1877"
"Intermediate and Equivalent",""
"Female","3926"
"Male","4300"
"Level not Stated",""
"Female","245"
"Male","232"
"Lower Secondary (Class 6-8)",""
"Female","21940"
"Male","18520"
"Non Formal Education",""
"Female","6189"
"Male","4057"
"Others",""
"Female","37"
"Male","32"
"Post Graduate Equivalent and Above",""
"Female","214"
"Male","818"
"Primary Education (1-5 Class)",""
"Female","38530"
"Male","37280"
"Secondary Level (Class 9-10)",""
"Female","11685"
"Male","9964"
"SLC and Equivalent",""
"Female","7816"
"Male","8038"
