"Population by disability type","Number"
"Blind/low vision",""
"Female","102"
"Male","91"
"","193"
"Deaf/hard of hearing",""
"Female","143"
"Male","97"
"","240"
"Deaf-Blind",""
"Female","7"
"Male","4"
"","11"
"Intellectual disable",""
"Female","7"
"Male","4"
"","11"
"Mental disable",""
"Female","8"
"Male","9"
"","17"
"Multiple disable",""
"Female","34"
"Male","44"
"","78"
"No disability",""
"Female","9691"
"Male","7980"
"","17671"
"Physical",""
"Female","126"
"Male","172"
"","298"
"Speech problem",""
"Female","28"
"Male","42"
"","70"
