"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","64"
"Male","55"
"","119"
"Bantar/Sardar",""
"Female","7"
"Male","8"
"","15"
"Baraee",""
"Female","187"
"Male","163"
"","350"
"Bin",""
"Female","178"
"Male","144"
"","322"
"Brahman - Hill",""
"Female","565"
"Male","509"
"","1074"
"Brahman - Tarai",""
"Female","13"
"Male","14"
"","27"
"Chamar/ Harijan/ Ram",""
"Female","556"
"Male","506"
"","1062"
"Chhetri",""
"Female","859"
"Male","740"
"","1599"
"Damai/Dholi",""
"Female","123"
"Male","105"
"","228"
"Danuwar",""
"Female","1107"
"Male","957"
"","2064"
"Dhanuk",""
"Female","304"
"Male","267"
"","571"
"Dom",""
"Female","19"
"Male","21"
"","40"
"Dusadh/ Pasawan/ Pasi",""
"Female","1581"
"Male","1408"
"","2989"
"Gaderi/Bhedihar",""
"Female","133"
"Male","135"
"","268"
"Gangai",""
"Female","9"
"Male","8"
"","17"
"Gharti/Bhujel",""
"Female","18"
"Male","11"
"","29"
"Gurung",""
"Female","26"
"Male","36"
"","62"
"Hajam/Thakur",""
"Female","199"
"Male","184"
"","383"
"Halwai",""
"Female","975"
"Male","884"
"","1859"
"Hayu",""
"Female","25"
"Male","26"
"","51"
"Kalar",""
"Female","7"
"Male","8"
"","15"
"Kalwar",""
"Female","42"
"Male","33"
"","75"
"Kami",""
"Female","223"
"Male","224"
"","447"
"Kathabaniyan",""
"Female","41"
"Male","41"
"","82"
"Kayastha",""
"Female","46"
"Male","41"
"","87"
"Kewat",""
"Female","255"
"Male","202"
"","457"
"Koiri/Kushwaha",""
"Female","844"
"Male","868"
"","1712"
"Kumhar",""
"Female","13"
"Male","9"
"","22"
"Kurmi",""
"Female","107"
"Male","99"
"","206"
"Lohar",""
"Female","6"
"Male","8"
"","14"
"Magar",""
"Female","153"
"Male","138"
"","291"
"Majhi",""
"Female","16"
"Male","8"
"","24"
"Mali",""
"Female","24"
"Male","15"
"","39"
"Mallaha",""
"Female","551"
"Male","475"
"","1026"
"Musahar",""
"Female","1361"
"Male","1372"
"","2733"
"Musalman",""
"Female","666"
"Male","519"
"","1185"
"Natuwa",""
"Female","37"
"Male","38"
"","75"
"Newar",""
"Female","126"
"Male","101"
"","227"
"Nuniya",""
"Female","12"
"Male","15"
"","27"
"Others",""
"Female","17"
"Male","15"
"","32"
"Rai",""
"Female","157"
"Male","146"
"","303"
"Rajput",""
"Female","19"
"Male","23"
"","42"
"Sanyasi/Dasnami",""
"Female","21"
"Male","17"
"","38"
"Sarki",""
"Female","9"
"Male","4"
"","13"
"Sonar",""
"Female","24"
"Male","19"
"","43"
"Sudhi",""
"Female","915"
"Male","843"
"","1758"
"Sunuwar",""
"Female","35"
"Male","30"
"","65"
"Tamang",""
"Female","388"
"Male","365"
"","753"
"Tatma/Tatwa",""
"Female","639"
"Male","583"
"","1222"
"Teli",""
"Female","776"
"Male","680"
"","1456"
"Terai Others",""
"Female","127"
"Male","87"
"","214"
"Thakuri",""
"Female","15"
"Male","14"
"","29"
"Tharu",""
"Female","6"
"Male","5"
"","11"
"Undefined Others",""
"Female","11"
"Male","8"
"","19"
"Yadav",""
"Female","1560"
"Male","1536"
"","3096"
