"Population by disability type","Number"
"Blind/low vision",""
"Female","123"
"Male","104"
"","227"
"Deaf/hard of hearing",""
"Female","42"
"Male","42"
"","84"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","5"
"Male","8"
"","13"
"Mental disable",""
"Female","11"
"Male","19"
"","30"
"Multiple disable",""
"Female","17"
"Male","18"
"","35"
"No disability",""
"Female","15902"
"Male","14439"
"","30341"
"Physical",""
"Female","78"
"Male","104"
"","182"
"Speech problem",""
"Female","15"
"Male","34"
"","49"
