"Population by Educational Attainment","Number"
"Beginners",""
"Female","400"
"Male","410"
"Graduate and Equivalent",""
"Female","133"
"Male","341"
"Intermediate and Equivalent",""
"Female","668"
"Male","812"
"Level not Stated",""
"Female","132"
"Male","147"
"Lower Secondary (Class 6-8)",""
"Female","3187"
"Male","2933"
"Non Formal Education",""
"Female","1021"
"Male","957"
"Others",""
"Female","5"
"Male","12"
"Post Graduate Equivalent and Above",""
"Female","21"
"Male","127"
"Primary Education (1-5 Class)",""
"Female","5954"
"Male","6177"
"Secondary Level (Class 9-10)",""
"Female","1962"
"Male","2156"
"SLC and Equivalent",""
"Female","2293"
"Male","2319"
