"Population by disability type","Number"
"Blind/low vision",""
"Female","3"
"Male","3"
"","6"
"Deaf/hard of hearing",""
"Female","1"
"Male","3"
"","4"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","0"
"Male","2"
"","2"
"Mental disable",""
"Female","1"
"Male","1"
"","2"
"Multiple disable",""
"Female","1"
"Male","2"
"","3"
"No disability",""
"Female","1065"
"Male","1091"
"","2156"
"Physical",""
"Female","1"
"Male","2"
"","3"
"Speech problem",""
"Female","3"
"Male","1"
"","4"
