"Industries Employment","Number"
"Accommodation,  food",""
"Female","373"
"Male","244"
"Administrative, support service",""
"Female","2"
"Male","7"
"Agriculture, forestry and  fishing",""
"Female","211"
"Male","396"
"Arts, entertainment, recreation",""
"Female","12"
"Male","42"
"Construction",""
"Female","17"
"Male","189"
"Education",""
"Female","955"
"Male","1399"
"Electricity, gas and water",""
"Female","8"
"Male","49"
"Financial intermediation and insurance",""
"Female","185"
"Male","265"
"Health, social work",""
"Female","238"
"Male","202"
"Information and communication",""
"Female","11"
"Male","32"
"Manufacturing",""
"Female","430"
"Male","580"
"Other service activities",""
"Female","196"
"Male","280"
"Professional, scientific, techniqual activity",""
"Female","7"
"Male","32"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","50"
"Male","184"
"Water supply, wet management",""
"Female","16"
"Male","50"
"Wholesale, retail trade",""
"Female","1190"
"Male","1088"
