"Population by disability type","Number"
"Blind/low vision",""
"Female","33"
"Male","34"
"","67"
"Deaf/hard of hearing",""
"Female","34"
"Male","25"
"","59"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","4"
"Male","3"
"","7"
"Mental disable",""
"Female","17"
"Male","24"
"","41"
"Multiple disable",""
"Female","11"
"Male","14"
"","25"
"No disability",""
"Female","9697"
"Male","7324"
"","17021"
"Physical",""
"Female","50"
"Male","53"
"","103"
"Speech problem",""
"Female","15"
"Male","17"
"","32"
