"Population by Educational Attainment","Number"
"Beginners",""
"Female","272"
"Male","276"
"","548"
"Graduate and Equivalent",""
"Female","9"
"Male","86"
"","95"
"Intermediate and Equivalent",""
"Female","175"
"Male","319"
"","494"
"Level not Stated",""
"Female","34"
"Male","28"
"","62"
"Lower Secondary (Class 6-8)",""
"Female","929"
"Male","930"
"","1859"
"Non Formal Education",""
"Female","277"
"Male","204"
"","481"
"Others",""
"Female","9"
"Male","7"
"","16"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","9"
"","9"
"Primary Education (1-5 Class)",""
"Female","2195"
"Male","2249"
"","4444"
"Secondary Level (Class 9-10)",""
"Female","397"
"Male","630"
"","1027"
"SLC and Equivalent",""
"Female","206"
"Male","429"
"","635"
