"Population by Educational Attainment","Number"
"Beginners",""
"Female","353"
"Male","408"
"","761"
"Graduate and Equivalent",""
"Female","253"
"Male","813"
"","1066"
"Intermediate and Equivalent",""
"Female","783"
"Male","1606"
"","2389"
"Level not Stated",""
"Female","284"
"Male","349"
"","633"
"Lower Secondary (Class 6-8)",""
"Female","2370"
"Male","3062"
"","5432"
"Non Formal Education",""
"Female","119"
"Male","217"
"","336"
"Others",""
"Female","9"
"Male","4"
"","13"
"Post Graduate Equivalent and Above",""
"Female","52"
"Male","247"
"","299"
"Primary Education (1-5 Class)",""
"Female","5754"
"Male","6688"
"","12442"
"Secondary Level (Class 9-10)",""
"Female","1387"
"Male","2485"
"","3872"
"SLC and Equivalent",""
"Female","864"
"Male","1438"
"","2302"
