"Population by Caste Ethinicity","Number"
"Bhote",""
"Female","15"
"Male","8"
"","23"
"Brahman - Hill",""
"Female","3865"
"Male","3663"
"","7528"
"Chepang /Praja",""
"Female","39"
"Male","29"
"","68"
"Chhetri",""
"Female","3392"
"Male","3204"
"","6596"
"Damai/Dholi",""
"Female","244"
"Male","251"
"","495"
"Danuwar",""
"Female","105"
"Male","100"
"","205"
"Gharti/Bhujel",""
"Female","155"
"Male","137"
"","292"
"Gurung",""
"Female","25"
"Male","21"
"","46"
"Hajam/Thakur",""
"Female","6"
"Male","16"
"","22"
"Halwai",""
"Female","7"
"Male","16"
"","23"
"Jirel",""
"Female","8"
"Male","12"
"","20"
"Kalwar",""
"Female","8"
"Male","13"
"","21"
"Kami",""
"Female","357"
"Male","305"
"","662"
"Kathabaniyan",""
"Female","9"
"Male","9"
"","18"
"Limbu",""
"Female","5"
"Male","7"
"","12"
"Magar",""
"Female","476"
"Male","463"
"","939"
"Musalman",""
"Female","66"
"Male","73"
"","139"
"Newar",""
"Female","1009"
"Male","980"
"","1989"
"Others",""
"Female","32"
"Male","65"
"","97"
"Rai",""
"Female","476"
"Male","433"
"","909"
"Rajput",""
"Female","5"
"Male","6"
"","11"
"Sanyasi/Dasnami",""
"Female","233"
"Male","225"
"","458"
"Sarki",""
"Female","710"
"Male","674"
"","1384"
"Sonar",""
"Female","6"
"Male","7"
"","13"
"Tamang",""
"Female","4432"
"Male","4294"
"","8726"
"Teli",""
"Female","10"
"Male","7"
"","17"
"Thakuri",""
"Female","115"
"Male","111"
"","226"
"Tharu",""
"Female","17"
"Male","34"
"","51"
"Undefined Others",""
"Female","4"
"Male","7"
"","11"
"Yadav",""
"Female","1"
"Male","27"
"","28"
