"Population by disability type","Number"
"Blind/low vision",""
"Female","80"
"Male","64"
"","144"
"Deaf/hard of hearing",""
"Female","52"
"Male","49"
"","101"
"Deaf-Blind",""
"Female","11"
"Male","9"
"","20"
"Intellectual disable",""
"Female","6"
"Male","8"
"","14"
"Mental disable",""
"Female","17"
"Male","22"
"","39"
"Multiple disable",""
"Female","29"
"Male","28"
"","57"
"No disability",""
"Female","11680"
"Male","10562"
"","22242"
"Physical",""
"Female","104"
"Male","167"
"","271"
"Speech problem",""
"Female","29"
"Male","37"
"","66"
