"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","52"
"Male","32"
"Bote",""
"Female","98"
"Male","100"
"Brahman - Hill",""
"Female","2797"
"Male","2405"
"Brahman - Tarai",""
"Female","23"
"Male","30"
"Chhetri",""
"Female","3974"
"Male","3333"
"Dalit Others",""
"Female","515"
"Male","425"
"Damai/Dholi",""
"Female","213"
"Male","190"
"Gurung",""
"Female","76"
"Male","59"
"Hajam/Thakur",""
"Female","17"
"Male","15"
"Halwai",""
"Female","10"
"Male","16"
"Kami",""
"Female","900"
"Male","748"
"Kathabaniyan",""
"Female","7"
"Male","8"
"Kumal",""
"Female","32"
"Male","22"
"Lohar",""
"Female","85"
"Male","78"
"Magar",""
"Female","622"
"Male","552"
"Majhi",""
"Female","6"
"Male","5"
"Musalman",""
"Female","8"
"Male","16"
"Newar",""
"Female","77"
"Male","60"
"Others",""
"Female","37"
"Male","33"
"Rai",""
"Female","6"
"Male","8"
"Sanyasi/Dasnami",""
"Female","171"
"Male","162"
"Sarki",""
"Female","67"
"Male","71"
"Teli",""
"Female","41"
"Male","29"
"Terai Others",""
"Female","28"
"Male","21"
"Thakuri",""
"Female","1506"
"Male","1279"
"Tharu",""
"Female","16719"
"Male","15760"
