"Population by Educational Attainment","Number"
"Beginners",""
"Female","94"
"Male","113"
"","207"
"Graduate and Equivalent",""
"Female","15"
"Male","32"
"","47"
"Intermediate and Equivalent",""
"Female","89"
"Male","103"
"","192"
"Level not Stated",""
"Female","18"
"Male","19"
"","37"
"Lower Secondary (Class 6-8)",""
"Female","727"
"Male","703"
"","1430"
"Non Formal Education",""
"Female","569"
"Male","639"
"","1208"
"Others",""
"Female","2"
"Male","1"
"","3"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","10"
"","15"
"Primary Education (1-5 Class)",""
"Female","1523"
"Male","1706"
"","3229"
"Secondary Level (Class 9-10)",""
"Female","320"
"Male","323"
"","643"
"SLC and Equivalent",""
"Female","154"
"Male","178"
"","332"
