"Population by disability type","Number"
"Blind/low vision",""
"Female","30"
"Male","23"
"","53"
"Deaf/hard of hearing",""
"Female","27"
"Male","37"
"","64"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","3"
"Male","3"
"","6"
"Mental disable",""
"Female","8"
"Male","4"
"","12"
"Multiple disable",""
"Female","18"
"Male","18"
"","36"
"No disability",""
"Female","6792"
"Male","5981"
"","12773"
"Physical",""
"Female","77"
"Male","111"
"","188"
"Speech problem",""
"Female","23"
"Male","32"
"","55"
