"Population by disability type","Number"
"Blind/low vision",""
"Female","46"
"Male","24"
"","70"
"Deaf/hard of hearing",""
"Female","71"
"Male","78"
"","149"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","14"
"Male","20"
"","34"
"Mental disable",""
"Female","32"
"Male","50"
"","82"
"Multiple disable",""
"Female","28"
"Male","32"
"","60"
"No disability",""
"Female","21164"
"Male","16279"
"","37443"
"Physical",""
"Female","223"
"Male","256"
"","479"
"Speech problem",""
"Female","54"
"Male","68"
"","122"
