"Population by disability type","Number"
"Blind/low vision",""
"Female","29"
"Male","28"
"","57"
"Deaf/hard of hearing",""
"Female","50"
"Male","59"
"","109"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","13"
"Male","10"
"","23"
"Mental disable",""
"Female","29"
"Male","18"
"","47"
"Multiple disable",""
"Female","6"
"Male","17"
"","23"
"No disability",""
"Female","13683"
"Male","10820"
"","24503"
"Physical",""
"Female","63"
"Male","108"
"","171"
"Speech problem",""
"Female","26"
"Male","52"
"","78"
