"Population by Educational Attainment","Number"
"Beginners",""
"Female","172"
"Male","212"
"Graduate and Equivalent",""
"Female","29"
"Male","141"
"Intermediate and Equivalent",""
"Female","152"
"Male","513"
"Level not Stated",""
"Female","52"
"Male","72"
"Lower Secondary (Class 6-8)",""
"Female","753"
"Male","1487"
"Non Formal Education",""
"Female","100"
"Male","241"
"Others",""
"Female","80"
"Male","61"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","52"
"Primary Education (1-5 Class)",""
"Female","2528"
"Male","3504"
"Secondary Level (Class 9-10)",""
"Female","252"
"Male","752"
"SLC and Equivalent",""
"Female","230"
"Male","671"
