"Population by disability type","Number"
"Blind/low vision",""
"Female","60"
"Male","73"
"","133"
"Deaf/hard of hearing",""
"Female","14"
"Male","16"
"","30"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","3"
"Male","2"
"","5"
"Mental disable",""
"Female","8"
"Male","7"
"","15"
"Multiple disable",""
"Female","13"
"Male","27"
"","40"
"No disability",""
"Female","14346"
"Male","15018"
"","29364"
"Physical",""
"Female","94"
"Male","105"
"","199"
"Speech problem",""
"Female","11"
"Male","29"
"","40"
